Open,High,Low,Close,Volume,Signal
120,125,115,124,15000,Buy
130,135,128,126,14000,Sell
140,145,138,142,16000,Buy
150,155,145,148,17000,Sell
110,115,105,112,13000,Hold
100,105,98,104,12000,Buy
105,110,102,101,11000,Sell
115,120,112,118,14000,Buy
125,130,120,122,15000,Sell
135,140,130,137,16000,Buy
140,145,135,138,15000,Hold
145,150,140,142,14000,Sell
150,155,145,152,17000,Buy
155,160,150,153,18000,Hold
160,165,155,158,16000,Sell
165,170,160,168,17500,Buy
170,175,165,169,16500,Hold
175,180,170,172,16000,Sell
180,185,175,183,19000,Buy
185,190,180,186,18000,Hold
120,126,118,125,15000,Buy
130,132,125,127,14000,Sell
140,148,138,147,16000,Buy
150,152,145,146,17000,Sell
110,113,105,109,13000,Hold
100,106,98,105,12000,Buy
105,108,102,100,11000,Sell
115,123,112,121,14000,Buy
125,128,120,121,15000,Sell
135,142,130,140,16000,Buy
140,143,135,139,15000,Hold
145,148,140,141,14000,Sell
150,158,145,156,17000,Buy
155,158,150,152,18000,Hold
160,162,155,157,16000,Sell
165,173,160,171,17500,Buy
170,172,165,168,16500,Hold
175,178,170,171,16000,Sell
180,188,175,186,19000,Buy
185,188,180,183,18000,Hold
120,128,115,127,15000,Buy
130,134,128,129,14000,Sell
140,147,138,146,16000,Buy
150,153,145,147,17000,Sell
110,114,105,111,13000,Hold
100,107,98,106,12000,Buy
105,109,102,101,11000,Sell
115,124,112,123,14000,Buy
125,129,120,122,15000,Sell
135,143,130,141,16000,Buy
140,144,135,140,15000,Hold
145,149,140,142,14000,Sell
150,159,145,157,17000,Buy
155,159,150,153,18000,Hold
160,163,155,158,16000,Sell
165,174,160,172,17500,Buy
170,173,165,169,16500,Hold
175,179,170,172,16000,Sell
180,189,175,187,19000,Buy
185,189,180,184,18000,Hold
120,127,115,126,15000,Buy
130,133,125,126,14000,Sell
140,146,138,145,16000,Buy
150,151,145,145,17000,Sell
110,112,105,108,13000,Hold
100,104,98,103,12000,Buy
105,107,102,100,11000,Sell
115,122,112,120,14000,Buy
125,127,120,121,15000,Sell
135,141,130,139,16000,Buy
140,142,135,138,15000,Hold
145,147,140,141,14000,Sell
150,157,145,155,17000,Buy
155,157,150,152,18000,Hold
160,161,155,157,16000,Sell
165,172,160,170,17500,Buy
170,171,165,168,16500,Hold
175,177,170,171,16000,Sell
180,187,175,185,19000,Buy
185,187,180,183,18000,Hold
